id,has_contrast
0.png,1
1.png,1
10.png,1
100.png,0
101.png,1
102.png,1
103.png,1
104.png,1
105.png,1
106.png,1
107.png,1
108.png,1
109.png,1
11.png,1
110.png,1
111.png,1
112.png,1
113.png,1
114.png,1
115.png,1
116.png,1
117.png,1
118.png,1
119.png,1
12.png,1
120.png,1
121.png,1
122.png,1
123.png,1
124.png,1
125.png,1
126.png,1
127.png,1
128.png,1
129.png,1
13.png,1
130.png,1
131.png,1
132.png,1
133.png,1
134.png,1
135.png,1
136.png,1
137.png,1
138.png,1
139.png,1
14.png,1
140.png,1
141.png,1
142.png,1
143.png,1
144.png,1
145.png,1
146.png,1
147.png,1
148.png,1
149.png,1
15.png,1
150.png,1
151.png,1
152.png,1
153.png,1
154.png,1
155.png,1
156.png,1
157.png,1
158.png,1
159.png,1
16.png,1
160.png,1
161.png,1
162.png,1
163.png,1
164.png,1
165.png,1
166.png,1
167.png,1
168.png,1
169.png,1
17.png,1
170.png,1
171.png,1
172.png,1
173.png,1
174.png,1
175.png,1
176.png,1
177.png,1
178.png,1
179.png,1
18.png,1
180.png,1
181.png,1
182.png,1
183.png,1
184.png,1
185.png,1
186.png,1
187.png,1
188.png,1
189.png,1
19.png,1
190.png,1
191.png,1
192.png,1
193.png,1
194.png,1
195.png,1
196.png,1
197.png,1
198.png,1
199.png,1
2.png,1
20.png,1
200.png,1
201.png,1
202.png,1
203.png,1
204.png,1
205.png,1
206.png,1
207.png,1
208.png,1
209.png,1
21.png,1
210.png,1
211.png,1
212.png,1
213.png,1
214.png,1
215.png,1
216.png,1
217.png,1
218.png,1
219.png,1
22.png,1
220.png,1
221.png,1
222.png,1
223.png,1
224.png,1
225.png,1
226.png,1
227.png,1
228.png,1
229.png,1
23.png,1
230.png,1
231.png,1
232.png,1
233.png,1
234.png,1
235.png,1
236.png,1
237.png,1
238.png,1
239.png,1
24.png,1
240.png,1
241.png,1
242.png,1
243.png,1
244.png,1
245.png,1
246.png,1
247.png,1
248.png,1
249.png,1
25.png,1
250.png,1
251.png,1
252.png,1
253.png,1
254.png,1
255.png,1
256.png,1
257.png,1
258.png,1
259.png,1
26.png,1
260.png,1
261.png,1
262.png,1
263.png,1
264.png,1
265.png,1
266.png,1
267.png,1
268.png,1
269.png,1
27.png,1
270.png,1
271.png,1
272.png,1
273.png,1
274.png,1
275.png,1
276.png,1
277.png,1
278.png,1
279.png,1
28.png,1
280.png,1
281.png,1
282.png,1
283.png,1
284.png,1
285.png,1
286.png,1
287.png,1
288.png,1
289.png,1
29.png,1
290.png,1
291.png,1
292.png,1
293.png,1
294.png,1
295.png,1
296.png,1
297.png,1
298.png,1
299.png,1
3.png,1
30.png,1
300.png,1
301.png,1
302.png,1
303.png,1
304.png,1
305.png,1
306.png,1
307.png,1
308.png,1
309.png,1
31.png,1
310.png,1
311.png,1
312.png,1
313.png,1
314.png,1
315.png,1
316.png,1
317.png,1
318.png,1
319.png,1
32.png,1
320.png,1
321.png,1
322.png,1
323.png,1
324.png,1
325.png,1
326.png,1
327.png,1
328.png,1
329.png,1
33.png,1
330.png,1
331.png,1
332.png,1
333.png,1
334.png,1
335.png,1
336.png,1
337.png,1
338.png,1
339.png,1
34.png,1
340.png,1
341.png,1
342.png,1
343.png,1
344.png,1
345.png,1
346.png,1
347.png,1
348.png,1
349.png,1
35.png,1
350.png,1
351.png,1
352.png,1
353.png,1
354.png,1
355.png,1
356.png,1
357.png,1
358.png,1
359.png,1
36.png,1
360.png,1
361.png,1
362.png,1
363.png,1
364.png,1
365.png,1
366.png,1
367.png,1
368.png,1
369.png,1
37.png,1
370.png,1
371.png,1
372.png,1
373.png,1
374.png,1
375.png,1
376.png,1
377.png,1
378.png,1
379.png,1
38.png,1
380.png,1
381.png,1
382.png,1
383.png,1
384.png,1
385.png,1
386.png,1
387.png,1
388.png,1
389.png,1
39.png,1
390.png,1
391.png,1
392.png,1
393.png,1
394.png,1
395.png,1
396.png,1
397.png,1
398.png,1
399.png,1
4.png,1
40.png,1
400.png,1
401.png,1
402.png,1
403.png,1
404.png,1
405.png,1
406.png,1
407.png,1
408.png,1
409.png,1
41.png,1
410.png,1
411.png,1
412.png,1
413.png,1
414.png,1
415.png,1
416.png,1
417.png,1
418.png,1
419.png,1
42.png,1
420.png,1
421.png,1
422.png,1
423.png,1
424.png,1
425.png,1
426.png,1
43.png,1
44.png,1
45.png,1
46.png,1
47.png,1
48.png,1
49.png,1
5.png,1
50.png,0
51.png,0
52.png,0
53.png,0
54.png,0
55.png,0
56.png,0
57.png,0
58.png,0
59.png,0
6.png,1
60.png,0
61.png,0
62.png,0
63.png,0
64.png,0
65.png,0
66.png,0
67.png,0
68.png,0
69.png,0
7.png,1
70.png,0
71.png,0
72.png,0
73.png,0
74.png,0
75.png,0
76.png,0
77.png,0
78.png,0
79.png,0
8.png,1
80.png,0
81.png,0
82.png,0
83.png,0
84.png,0
85.png,0
86.png,0
87.png,0
88.png,0
89.png,0
9.png,1
90.png,0
91.png,0
92.png,0
93.png,0
94.png,0
95.png,0
96.png,0
97.png,0
98.png,0
99.png,0